LELL  Sabadell 
MU99  [H] Fabick-Colmarile 
KTVK  CENTERVILLE MUNI 
LSPD  Dittingen 
IN16  Wilkins Strip 
56XS  [H] G H Hart Nr 2 
KTUP  TUPELO RGNL 
54CL  Lake Riverside Estates 
WAJO  Oksibil 
LFHZ  Sallanches Mont Blanc 
RI08  [H] South County Hospital 
3O4  SAYRE MUNI 
XLF00CB  L'Alpe du Grand Serre 
18KY  [H] Marshall County Hospital 
C17  Marion 
KAMN  GRATIOT COMMUNITY 
SATM  Mercedes 
LHER  Eger 
LFKA  Albertville 
5TN9  One Grand Field 
49NY  Westmoreland 
5CO0  Cheyenne Wells Municipal 
4NC6  Cane Creek 
YCRN  CRANBOURN 
CL75  [H] Robert D Cloud 
LHDA  Dáka 
XLF00AJ  L'Escoulin 
XLF00B0  Valloire Bonnenuit 
LFJR  Angers Marce 
SAVE  Brigadier Antonio Parodi 
1U8  Picabo 
FX6  Vulcan 
KMZJ  Pinal Airpark 
KCTY  Cross City 
SMCI  Coeroenie 
XLF00BQ  Chaneins 
SJEO  [H] Sylvio Quadros Merces 
EFHV  Hyvinkaa 
8AK2  Cartys Airstrip 
SFPC  Port San Carlos 
XLF007Z  Chaume et Courchamp 
EDSI  Binningen 
YSWI  Swan Island 
SJFT  Fazenda Triunfo Rio Turvo 
AZ35  [H] Grand Canyon West-2 
SDHG  [H] Malaga 
NY06  Gaines Valley Aviation 
D59  Gowanda 
EFKM  Kemijärvi 
UI29  [H] Burovaya R-1022 
XLF004A  St Macaire du bois 
YSTR  STRATHEARN 
EDPR  Airbus Helicopters Donauwörth 
28TA  DUVAL CO RANCH COMPANY 
2CO9  Silver Heels 
PAHN  Haines 
II58  Rhoton Farm 
CYYZ  Lester B Pearson Intl. 
SSKF  Porto Bonito 
XEDK8  Kleinkoschen 
KSRE  Seminole Muni 
40FL  Fred Babcock 
S68  Orofino Municipal 
PAKU  Ugnu-Kuparuk 
SSIY  Fazenda Santa Adelina 
KSPZ  SILVER SPRINGS 
SSJB  Salenco 
75GA  [H] Effingham County Hospital 
SJDK  [H] Oeste Plaza Shopping-MC 
SDJX  Fazenda Serra Dourada 
39R  Flyin B 
EDRM  Mont Royal Traben-Trarbach 
SDIC  Fazenda Capao Seco 
XUUMW  Volosovo 
AZ21  Womack 
SJGP  CONDOMINIO FLY IN COMMUNITY 
NY12  [H] Auburn Memorial Hospital 
PTRO  Roman Tmetuchl Intl 
SC94  Free Fall Farms 
CL61  [H] Kern Medical Center 
XLF00C4  Col de Belledonne 
3L8  [H] R I An Anaheim Helistop G L B 201 
KANB  Anniston Regional 
8FL0  Hutson Airfield 
1WF  Waco Field 
CEH4  De Winton South Calgary 
FY2  Grist Lake 
XLF00CU  Veauce 
LFHM  Megeve 
30GA  Elliott Fld 
SAM  Salamo 
1TS7  [H] CIG 804 
EP66  Bezmiechowa 
GA40  [H] Beaver Trail 
U85  Lanham Field 
YLTV  Latrobe Valley 
CT17  [H] United Technology Corp. 
YNOI  [S] NORTH ISLAND (NT) 
19AZ  MONTEZUMA 
2E7  MC LEAN GRAY CO 
17OI  Haas 
73KS  Philip Ranch 
VTBC  Chantaburi RTN 
BGCO  Nerlerit Inaat/Constable Pynt 
SNSF  Fazenda Entre Rios 
CD40  [H] Hilltop 
NV55  Pinenut 
EINN  Shannon 
SKMD  Medellin Olaya Herrera 
EKVJ  Stauning 
5C1  Boerne Stage Field 
EGCF  Sandtoft 
74MU  Koala-T-Field 
3OK4  [H] St Anthony 
FBCO  Camp Okavango 
52OI  [H] Timken Mercy Medical Center 
36KS  White Farms 
CZJN  SWAN RIVER 
9TA6  [H] Buccaneer Shore Facility 
KRZN  BURNETT CO 
3MS0  [H] Grand Gulf 
NA70  Smith Airstrip 
25KY  [H] Western Baptist Hospital 
36IL  Aeroview 
CD54  [H] Raspberry 
FYTF  Twyfelfontein 
WW48  Padang/Pagai (Minas Lumber Co) 
NV41  Sulfur 
9W9  Clio Crop Care 
VT56  West Burke Aerodrome 
SITD  Cara Preta 
67ND  Waldie Farms 
KGCT  Guthrie County Regl 
EGBB  Birmingham 
5B5  Napoleon Muni 
MD79  [H] Nuodex Inc. 
1KS3  Leos Place 
LIMN  Cameri 
OR39  Flying Tom 
8II3  Thrust Industries 
SNRB  FAZENDA ROSA DE MAIO 
EG43  Garston Farm 
L78  Jacumba 
73IL  Matteson Rla 
KLSE  La Crosse Muni 
NZWL  West Melton 
0CA7  [H] R I Seal Beach Helistop B80 
60KY  [H] RMC 
SNQY  [H] Colina Verde 
U91  Grasmere 
GA54  [H] Interstate North 
IA79  Loerke-Fox Run Aerodrome 
YNNM  NOONAMAH 
22ND  Hall Airstrip 
0MN7  [H] Ely Bloomenson 
YWBL  Warrnambool 
UHOO  Okhotsk 
56L  [H] Sunset-Glendale 
SNPJ  Patrocinio 
VTBT  Bang Phra 
XS35  Trull 
6II6  David Beiswanger 
L50  Tuweep 
BIMK  Mulakot 
SNSQ  [H] Cent Empres. Nacoes Unidas Torre N 
15TA  J R Ranch 
PN80  [H] West Penn Hospital 
FKKM  FOUMBAN NKOUNJA 
31NY  [H] Troop E 
4OH1  Sky Haven 
YBYI  Bruny Island 
FB62  Piajio 
22LL  Pikes 
XKE79  Sierra Sky Park 
ZUDC  Daocheng Yading 
3OH8  Winkler 
38FL  [H] Flagler Hospital 
GMTA  Al Hoceima - Cherif El Idrissi Intl. 
HE29  Abu Rudeis 
MS60  [H] Lundys 
50TA  Moltz 
WN89  Lees 
SIUW  CANDOTE 
23Q  Meadowlark Field 
KGBG  Galesburg Muni 
NV69  [H] Sparks Family Hospital 
K36  ONAWA MUNI 
WW60  Pelaik (MAF) 
67LL  County Poor Farm 
SIVL  Sitio Flor de Lys 
9U1  Wilsall 
MD51  [H] Kent & Queen Annes Hospital 
74NY  New Salem Aerodrome 
RJTY  YOKOTA AB 
UOII  Igarka 
KGCC  Gillette Campbell Co 
22U  Fisher Fld 
CD68  [H] Silverton Junction 
SKOL  Carimagua 
DC07  [H] MPD 5th 
K22  Big Sandy Rgnl 
KINK  Winkler County 
SIWH  Fazenda Frigorifico Atlas 
21N  Mattituck Airbase 
85WA  Scott Seed Farm 
EKTB  [H] Torshavn/Bodanes 
9T5  Kalt Ranch 
MD45  Hampton 
5A9  ROOSEVELT MEM 
GCXM  [H] Tenerife Norte Los Rodeos 
OISR  Lamerd 
7TA3  Willis-Isler 
MS74  Lees Field 
EPBO  Borsk 
YKSC  Kingscote 
MT12  Smith Field 
VCCJ  Palaly 
GA68  Flying H Ranch 
IA45  Willies Bomber Patch 
4OI5  [H] Riverside Hospital 
FB76  Takatokwane 
HL83  NANUR 
48GA  [H] Fairview Park Hospital 
SBDB  Bonito 
0MO3  Arvin Ranch 
17MA  [H] Long Hill 
YWCH  Walcha 
SNQN  Fazenda Estrela 
KGX  Grayling 
OR05  Flying M 
AR28  Odom Field 
XS21  H & S Airfield 
VTCP  Phrae 
UHMP  Pevek 
L44  Moundville 
SNRU  Caruaru 
UA34  CHARDARA 
LICR  Reggio Calabria 
NTTX  Mururoa 
MM10  Isla de Cedros 
0Q0  Bear Valley 
BIBD  Bildudalur 
VVVD  Van Don Intl 
08TS  Puesta Del Sol 
YWMC  WILLIAM CREEK 
NZYP  Waipukurau 
SBJI  Ji-Parana 
0MA8  [H] Textron Everett 
SWQL  Fazenda Tres Companheiros 
XEG3SH  Streethay 
HL68  AL BUMBAH NORTH 
HEKG  El Kharga 
SWRW  Fazenda Santa Alice 
U46  Big Southern Butte 
NH19  [H] Air-Wood 
GA83  Windy Hill 
WI10  Cedar Island 
KY36  [H] Hoke 
WN76  Bergseth Field 
CZFM  Fort McPherson 
ZWSH  Kashi 
7MA1  [H] Digital - Box 2 
EGOE  Ternhill 
WY47  [H] True 
YPKE  Peake 
E11  Andrews County 
KEUL  Caldwell Industrial 
7W6  Hyde Co 
SIZX  Juara Sul 
78WA  Center Island 
KEVW  Evanston Uinta Co Burns Fld 
LNQ  Loani 
SIXG  Fazenda Pouso Alegre 
OPRT  RAWALAKOT 
8NC6  Brooks Field 
KIAD  Washington Dulles Intl 
E05  Hatch Muni 
5N6  [S] Ridgefield Park 
EGNA  Hucknall 
KETH  Wheaton Muni 
9CO0  [H] Police Headquarters 
7V2  North Fork Valley 
XEK000Y  Hov 
89NY  Sheldon Airstrip 
WN62  [H] Auburn Fire Department 
AL58  Webb Hollow 
KRWI  Rocky Mount Wilson Regl 
NFKD  Kadavu 
USTR  Roschino 
FB89  Whyle 
SWPH  Fazenda Paulo Abreu 
0TN5  Mc Donald 
4AK2  Livengood Camp 
SWSS  Fazenda Silmar 
YNAU  NANNUP 
GA97  [H] Lapointe Martin Army Hospital 
U52  Beaver Muni 
LGLE  Leros 
80FL  [H] Northwest Florida Community Hospital 
LIBV  GIOIA DEL COLLE 
KNDY  DAHLGREN USN SFC WAR CNTR 
1NA2  Antelope 
KKL  [S] Karluk Lake 
YWLG  Walgett 
2H0  Shelby County 
58G  Handleman Sky Ranch 
CFT8  Pelican 
EG80  Peterlee 
RDV  Red Devil 
IA92  [H] University of Iowa Hospitals & Clinic 
HL54  BENI WALID 
PN43  Sainovich 
AK16  [S] Port Alice 
NH25  [X] Flying H Skyport 
59T  Hoffpauir 
RCPO  HSINCHU 
NTTO  Hao 
2J8  Pierson Municipal 
YWNO  WONGANOO 
KICL  SCHENCK FLD 
CAP6  Ingenika 
SIZO  CALCARIO VALE DO ARAGUAIA 
YRSV  ROSEVALE 
9Y2  East Gull Lake 
ZBHZ  Holingol Huolinhe 
SKAP  GOMEZ NINO APIAY AB 
MD92  Mylanders Airstrip 
96XS  [H] Houston Oil & Minerals Smith Point 
SIYT  Mamuru 
GVMT  Mosteiros 
7CO5  Yocam Ranch 
AU99  Northcliffe Airstrips 
6NC3  Eastover Air Ranch 
YTG  [S] Sullivan Bay 
EPLS  Leszno Strzyzewice 
AL64  Parker Flying Service 
EPNL  Lososina Dolna 
YERH  EARAHEEDY 
9X6  [S] Flying Bonefish 
YRRR  Raymangirr 
NU8  Toronto Markham 
ZLGM  Golmud 
UODN  Nagurskoye 
XEK000N  Vestbjerg 
EN02  Atna 
SIXP  FAZENDA PAIAGUAS 
LNF  Munbil 
3TS2  [H] West Community Hospital 
SKCO  La Florida 
EGNV  Teesside Intl 
MM38  FALCON DAM 
KBRY  Samuels Field 
L87  [H] Idas 
YWLP  [H] WILSONS PROMONTORY 
KNGU  Norfolk Naval Air Station 
CJB8  Kyle 
YWOK  WOODSTOCK 
LIBA  Amendola 
LGLR  Larissa 
IA86  Hedgewood Landing 
SWSD  Fazenda Santo Antonio 
YBTN  Barton Siding 
XEF0003  Ahtari 
22AK  Helmericks 
YNAB  NABARLEK 
PN57  Marion Center Speedway 
AK02  Bear Creek 1 
WI38  [H] Beloit Memorial Hospital 
YNBY  [S] KNOCKER BAY 
NH31  Mountain View Field 
KRAS  Mustang Beach 
XEG8TG  Tandragee 
VA71  Aden Field 
2NJ8  [H] Peddie School 
9VA4  Franwood Farms Inc. 
YEDE  EDENHOPE 
43NE  Onion Crest Airpark 
ID09  Otterson Ranch 
41VA  [H] Stafford Hospital Center 
50OK  [H] Southwest Medical Center of Oklahoma 
GOTT  TAMBACOUNDA 
36PN  [H] Us Army Reserve Center 
NC66  Ventosa Plantation 
FYMD  Mangetti Duine 
7C3  Monona Municipal 
MMSD  Los Cabos Intl 
03D  MEMPHIS MEM 
96LA  [H] Troop A 
SIMF  Fazenda Sao Miguel 
I08  Cabin Creek USFS 
85MO  Willhite 
RJOS  Tokushima 
IS38  [H] St Joseph Memorial Hospital 
PR31  [H] San Juan Steam Plant 
1LL7  Edwin G. Bennett 
76Y  Benson 
LB17  SLIVEN 
CJT5  Melita 
YWYF  Wycheproof 
ENSU  Vinnu 
06NE  [H] St Marys Hospital 
CA24  Quail Creek 
KNRC  NASA Crows Landing 
73PN  Finkhaven 
75B  [S] Seven G S 
9FD3  [H] Highlands Regional Medical Center 
KNQX  Key West NAS 
15OK  [H] Enid State School 
04VA  [H] Vint Hill Farms Station 
SWFR  Formosa 
YLOK  Lock 
UT1E  PITNYAK 
2GA6  Catoosa Springs 
5NJ1  [H] OTI 
SWEI  Eirunepe 
W87  Wickenheiser 
YBBC  Bamboo Creek 
VOML  Mangalore 
SWGV  Fazenda Cocal 
ND14  Fordville 
XLI0001  Acqui Terme 
SWDM  Diamantino 
YBCG  Gold Coast Intl 
33OH  Sunset Strip 
KLHX  La Junta Muni 
99N  BAMBERG CO 
KBFK  BUFFALO MUNI 
SNJD  JOAO DURVAL CARNEIRO 
71IN  Morgan Airfield 
6IS8  Rockin B Farms 
LKML  Milovice 
SIOY  [H] Caravelas 
EKLS  Laeso 
KIUA  Canandaigua 
76OH  [H] Wyandot Memorial Hospital 
SILB  Aviador Mario Luiz Spinelli 
RJNW  Noto 
GMMT  Casablanca Tit-Mellil 
34IN  Windy P Ridge 
3OR6  [H] Western Div Service Center 
VA65  Ivy Hill 
9TX4  [H] Fort Worth Center 
YISV  Innesvale 
FNLZ  LUZAMBA 
NC72  Hinton Field 
LLIB  Rosh Pina I Ben Yaakov 
YRDH  [H] Red Hill South 
KITR  Kit Carson Co 
SIMQ  Dois de Maio 
94WI  [H] Koller 
I34  Greensburg Muni 
CAD3  Wolverine 
SINJ  Fazenda Novo Horizonte - TATTERSAL 
DA11  Hamaguir 
FYMS  Masbieker 
5PA2  Crosswind Acres 
KIWI  Wiscasset 
IS04  [H] Indian 
03S  Sandy River 
7TX1  [H] Providence Health Center 
27IS  Gelfius International 
VO95  HOSUR 
ID35  High Valley Bills 
OIIK  GHAZVIN 
WIPH  Depati Parbo 
Y63  Elbow Lake Muni 
YBBT  Boort 
SWFE  Fazenda Colen 
UT1R  MUYNAK 
0TX8  Jacobia Field 
MHNJ  GUANAJA 
ENPY  [H] Pyramiden 
06MI  [H] W A Foote Memorial Hospital 
CA18  Wagner Aviation 
62IS  Wilson 
VTZ3  Kabin Buri 
LEBL  Barcelona - El Prat 
N52  JAARS-Townsend 
SNHL  Lagoa da Taboca 
80PA  [H] Pamco Pa 
OP13  MAD JUMA 
ENSB  Svalbard Longyear 
NZMB  [H] Mechanics Bay 
76N  Skyhaven 
0F9  Tishomingo Airpark 
EBFN  KOKSIJDE 
4XS6  H Young Ranch 
MA35  Sunny Knoll 
SNKW  Fazenda Boa Sorte 
7FD6  Loxahatchee 
LIVD  Dobbiaco 
LECH  Castellon-Costa Azahar 
VVCR  Cam Ranh 
99Y  Greeley Muni 
XZ0007  Beijing Dingling 
SNJS  Jardim Do Serido 
MA21  [H] Baybank 
Y77  Bayfield County 
SWDZ  Fazenda Agua Limpa 
4MI7  Witbeck Aerodrone 
UT07  Air Village Strip 
SWGA  Fazenda Guara 
2IN6  Harrold 
NCAT  Enua 
29FD  [H] Gadsden Memorial Hospital 
7VA1  [H] Bristol Regional Medical Center 
ID21  Smith Ranch 
SILU  Fazenda Cristo 
I20  Skydive Greene County Inc 
9L3  [H] Scripps Hospital East County 
FYLW  Langverwacht 
87TX  Porter Ranch 
98CA  [H] Everest & Jennings Helistop Nr 1 
PR19  [H] Orocovis Health Center 
02W  Deck Airpark 
SKTQ  TRES ESQUINAS AB 
IS10  Snow Rla 
SIAE  [H] BASF Guaratingueta 
XRP003A  Mampising 
9B8  Salmon River Airfield 
LLEV  Ein Vered 
SETI  Tiputini 
5W4  P K AIRPARK 
EGWC  RAF Cosford 
SN12  Jenkinson 
EKAT  Anholt 
XRP000Z  Culion 
65CA  [H] Sce San Joaquin 
OESH  Sharurah 
XK003R  True Grit South 
ZWKN  Kanas 
XCCH3  [H] Canmore (Hospital) Heliport 
YKEN  Kenmore Park 
XK0033  Middle Bass Island 
SWIJ  Fazenda Sao Jorge 
VOCP  Kadapa Airport 
XLEVH  Hospital Valle Hebron 
20CA  [H] Clayton 
SWJQ  Fazenda Colibri 
OI05  NAIN MILITARY 
79A  Clutes Hilltop 
0CT6  [H] Middletown 
FY4L  Tantallite Valley 
91FD  [H] Freedom Wpec Inc 
SNDX  Cachoeira 
VVNB  Noi Bai Intl 
94I  Clark 
KBKL  Burke Lakefront 
0AL2  [H] Clay County Hospital 
MO12  [H] St Lukes Hospital West 
SNGC  Pista Canaa 
SBPP  Ponta Pora 
LL18  Ernest E Orwig 
NZCI  Chatham Islands 
IHU  Ihu 
KBIS  Bismarck Municipal 
08NJ  [H] St Barnabas Medical Center 
XFA0004  FAMornst 
1NY4  High Banks Farm Landing Area 
0H2  Hammet 
1LA0  Ken Guidry Nr 2 
VTT8  Prachom Klao 
CJY2  Little Cornwallis I 
YWTA  WINTINNA 
SNFG  Fazenda Citropar 
MO06  Discovery Bay 
SWHN  Fazenda Nossa Sra. de Fatima 
YLAW  Lawlers 
2IA9  South 80 Field 
XENFB  [H] Statfjord B Platform 
SWKU  CUCUI 
Y88  Green Lake 
XEG001D  [H] Hull Royal Infirmary 
OI11  Hibbetts 
SPMS  Moises Benzaquen Rengifo 
HI18  [H] Lucy Henriques Medical Ctr 
5IA0  [H] Skiff Medical Center 
KPWK  Chicago Executive 
XK001M  St. Joseph's Hosp Heliport 
38PA  Aerequus 
XRP002E  Balabagan 
6LA9  [H] Energy 
RJBT  Tajima 
KELN  Bowers Fld 
2WI6  Matson 
SN06  Townsend 
SICZ  [H] Edificio Comercial Lorena 
7N4  Honey Acres 
RJAO  [H] Chichijima 
KRMG  Rome - Richard B Russel 
NC99  Bagwell 
3MD9  [S] Havre De Grace 
1PS3  [H] P J Valves 
2NE7  Kumor 
VDSV  SIHANUKVILLE 
YKEY  KEYTAH 
NM41  Happy Mountain 
OIFS  Shahre Kord 
XK003E  [H] Defense Supply Center 
KPUC  CARBON CO 
XRP0037  Pintatagan 
XRP000M  Ibonan 
9A4  LAWRENCE CO 
YRKP  ARKAPENA 
SIBI  [H] Tame Guaruja 
KGUY  Guymon Municipal 
8NY8  Para-Tech 
EGTO  Rochester 
XRP003V  Boracay Seaplane Terminal 
SIAR  Fazenda Bom Retiro 
CO03  Aspen 
CDV2  DOWNS GULCH 
NZAA  Auckland Intl 
LEMT  Casarrubios del Monte 
SNGT  GENTIO DE OURO 
KR8  Carrot River 
AYAY  Aiyura 
VTUJ  Surin 
EK72  Sejeroe 
VTV0  Nakhon Nayok Thanawana 
TN27  [H] Methodist Hospital 
SNDO  Ouro Branco 
NJ27  [H] WRNJ 
XEG000W  Rathfriland 
W78  William M Tuck 
SWJF  Fazenda Sao Marcelo 
CSU3  ST HYACINTHE 
XEG0006  Drayton St. Leonard 
OI39  Vensil Farms 
A012  Yuin Station 
4MD0  Mears Creek Airfield 
YBLH  BELLALIE HS 
XEG001S  [H] GNAAS Langwathby 
NJ33  [H] Darst 
SWKB  Fazenda Campina 
LPTN  Tancos 
XEG002H  Tredunnock Farm 
YBOS  BROOKING SPRINGS HS 
XEG0012  The Moy 
SWHY  Fazenda Boa Esperanca I 
A006  Sturt Creek 
YWTV  WATSON RIVER 
CO17  Sky Haven 
95Z  Bradley Sky-Ranch 
LKBC  Bechyne 
SNFP  Fazenda Pirapo 
LGTT  Tatoi 
KBID  Block Island State 
78R  San Augustine Co 
VTW4  Pattaya Airpark 
EK66  Maaloev 
96A  Carey 
N85  Alexandria 
SNEK  Moria 
TN33  [H] Army Guard Helipad 
LF2827  Fontaine Simon 
XRP001I  Manato 
XRP0023  Isabela 
SICM  Fazenda N. S. de Fatima 
BX2  Fort Nelson/Mobil Sierra 
WRKB  Bajawa/Pahdamaleda (Local Gov) 
7M8  Rector 
XRP002R  Tampakan 
YRIO  RIPCORD 
78MO  Staggs 
FYCO  Coenbrits 
EGVP  AAC Middle Wallop 
KELY  Ely Arpt Yelland Fld 
XK001Z  Bloomer Memorial Med Ctr 
2ND3  Henry Fietzek 
KROX  Roseau Muni Rudy Billberg Fld 
NM55  Whitewater Mesa Ranch 
KPTG  Lee County 
XK002A  Aurora Sheboygan Memorial 
XRP001Z  Caranoche 
7N0  [H] New Orleans Downtown 
6NY9  [H] Benedictine Hospital 
RJAK  Kasumigaura AB 
XRP002A  Diatagon 
9C8  EVART MUNI 
76CO  Hoy Airstrip 
5V4  Calhan 
SN02  Wright International 
2WI2  Shullsburg 
YPRC  [H] PRINCE CHARLES HOSPTIAL 
XK001I  St Catherine's Hospital 
5IA4  [H] Marian Health Center Nr 3 
YKDN  KONDININ 
KPTT  Pratt Regl 
SYEB  Ebini 
SWKQ  Serra da Capivara 
SWHJ  Fazenda Bela Vista 
PEC  [S] Pelican 
YWTE  [S] WHITE TIP REEF 
SBSO  Sorriso Regional Airport 
1LA4  [H] Bayou Fourchon 
LELC  Murcia San Javier 
SNFC  Marina do Caraipe 
LGTG  Tanagra 
78A  Swan Creek 
KLGD  LA GRANDE UNION CO 
96R  Yorktown 
0H6  [H] Woodruff County Hospital & Nursing Hom 
SNEX  [H] Fazenda Melado 
1NY0  Wallbridge 
BGUQ  Qaarsut Ummannaq 
NVVA  Anatom 
2PN0  Strawberry Acres 
2Q6  Coaldale 
NZAR  Ardmore Aerodrome 
LKCT  Chotebor 
LEMG  Malaga 
SNGG  Gurgueia 
0AL6  [H] D.W. Mcmillian Memorial Hospital 
17XS  Quahadi Ranch 
FY4H  Swartbooisdrift 
LL08  Williard Nycum Rla 
0CT2  [H] Windham Hospital 
0I2  Brazil Clay County 
Y98  Grand Marais 
XEG000D  Eddsfield 
SWJU  Juruena 
OI01  Lazy-W 
59KY  Samuels Springs 
W40  Mt Olive Muni 
YBND  BENDEMEER 
SWIN  FAZENDA ITAMARATI NORTE 
ZUSN  Suining Nanba 
XK000M  Chandelle 
KRNO  Reno Tahoe Intl 
OESL  SULAYEL 
SPLS  Zorrillos 
XK003V  [H] Central Government Center 
SIBZ  ITAPORANGA 
LLER  Eilat/Ilan & Assaf Ramon 
XRP003E  Dizon 
KGVQ  Genesee County 
SIAA  [H] Aeroandres 
SN16  Curtis 
RJCT  Tokachi 
2ND7  Johnson 
XK002E  Black River Memorial Hospital 
GMAD  Agadir Al Massira 
YGRN  GORDON 
NC89  [H] Pungo District Hospital 
KGWB  DE KALB CO 
OPJA  SHAHBAZ AB 
69TA  Dean 
XRP002V  Guianga 
YPRT  [H] Paramatta 
SICI  [H] Conjunto Hospitalar de Sorocaba 
XRP0027  Doña Rosario 
XRP001M  Sibutu 
01FL  Cedar Knoll Flying Ranch 
5U8  Geraldine 
EGUO  [X] RAF Colerne 
EK62  Femoe Kro Flyveplads 
SBPC  POCOS DE CALDAS 
VTW0  Ban Mi 
78V  Gosney 
LGTP  TRIPOLIS 
YWWI  WOODIE WOODIE 
08NY  Sharon 
NVVV  Bauerfield 
TN37  Anderson 
N81  HAMMONTON MUNI 
CO13  Heckendorf Ranches 
SNFT  Fazenda Serinhaem 
VOBG  Bangalore 
VALT  Latur 
XEG0016  Carrickmore 
XEG002L  Nympsfield 
OI1C  MEHTAR KALATEH 
A002  Preston Field - Blair Howe 
OI29  Yellowbird Farm 
SWKF  Fazenda Jaozinho 
44FL  [H] Martin Memorial Hospital 
XEG001W  Sutton Bank 
NJ37  [H] Elmwood Park 
YBLL  BOLLON 
CST3  Saint Lazare 
SWIY  Santa Isabel Do Morro 
X6AH  [H] Arran Heliport [H] 
VOCC  INS Garuda 
YBNS  Bairnsdale 
XEG0002  Weston on the Green 
4MD4  Clements 
XEG3HF  Home Farm 
SWJB  Fazenda Juba 
NJ23  [H] Colgate Palmolive 
XEG000S  Titsey 
79R  Arrowhead 
VTV4  Nong Kham 
EK76  Tunoe 
VTUN  Nakhon Ratchasima Khorat Aero RTAF 
TN23  Evans Enterprises 
71GA  [H] Newton General Hospital 
N95  [H] Carlisle Barracks 
94Z  Nome City Field 
LL34  Jerry E Staab 
CO07  Athanasiou Valley 
SNGP  Fazenda Santa Maria 
LEMP  Los Martinez del Puerto 
SIAV  [H] Helipark 
7L8  POST AIR 
XRP003R  Kasilak 
YRHO  [H] ROYAL CHILDREN'S HOSPITAL 
8LA8  [H] Galvez-Lake Vfd 
RJCC  NEW CHITOSE 
89TS  Carter Ranch 
SIBM  [H] Helicentro ABC 
CAH4  Valemount 
9A0  Lumpkin County-Wimpys 
XRP000I  Dibagat 
XRP0033  Neda 
EGTK  Oxford Kidlington 
34GA  [H] Cobb General Hospital 
VDSR  Siem Reap 
NM45  [H] Pay Jay Nr 1 
VO52  HARIHAR 
1PS7  [H] Hahnemann 
9TX0  [H] Houston Police Command Station 
ID19  Bird Nr 2 
NC76  Massengill 
VA61  Scott Airpark 
AGGY  Yandina 
2NK8  [H] Landmark Plaza 
3OR2  Maxwell - Private 
I18  Jackson Co 
SILF  [H] New Century 
5Z7  Kasitsna 
RJNS  Mt. Fuji Shizuoka 
74TS  [H] St Mary of The Plains Hospital 
IS28  [H] Fabick Three 
PR21  [H] Fort Buchanan 
7B3  Hampton Airfield 
SKTB  TIBU 
YYUN  Yunta 
74B  Mount Vernon 
0D5  Hill Top Airpark 
04WA  Ox Meadows 
LKMH  Mnichovo Hradiste 
VVCA  Chu Lai 
MA19  Berlin Lndg Area 
CA34  [H] Flea Port 
77Y  Steele 
ZGCJ  Huaihua Zhijiang 
VONS  NAGARJUNA SAGAR 
SWDI  Dois Irmaos 
XLEX1  Avinyonet 
XLI0005  Valle di Casies 
SWGR  Alto Gracas 
YNUT  NUTWOOD DOWNS 
YLLT  LOWER LIGHT 
SWEM  Emal - Empresa Mineracao Aripuana Ltda 
5NJ5  [H] Atsion Helistop 
CSZ8  Montreal Sacre-Coeur 
YLOO  WYLOO STATION 
SWFV  Terramare 
EYPP  Pajuostis 
2GA2  Swaids Field 
57II  Reimer Aerodrome 
UT1A  ISFARA 
OP1A  JAM NIDA NORTHWEST 
75F  Womack Farm 
9FD7  L H Ranch 
CA20  Eagles Nest 
YWYB  Wynbring 
LB13  RADOMIR DOLNI RAKOVETS AFLD 
ESA  Esa'ala 
SNKD  Conceicao Do Mato Dentro 
94TA  Reece Field 
SIMB  [H] Monumental Business 
RJOW  IWAMI 
EKMS  [H] Mykines 
12II  Pentecost 
SINY  [H] Fazenda Nova 
KGYI  Grayson Co 
KRBL  Red Bluff Muni 
YKII  King Island 
NC62  [H] Birds Nest 
VA75  Smith Field 
KRAW  WARSAW MUNI 
YEDA  Etadunna Airport 
9VA0  Bath Alum 
5IL3  [H] Galesburg Cottage Hospital 
SIOJ  Fazenda Soroteca 
SGAY  JUAN DE AYOLAS 
FYLS  Lianshulu 
9L7  [H] Hughes Space & Comm 
IS14  [H] Addison Fire Department Station 3 
SKTU  Gonzalo Mejia 
FYOH  Okahao 
SILQ  Clube de Ultraleves Aeroleve 
01H  Mc Christy 
65MN  Ricks Field 
ID25  Olmstead Sky Ranch 
AGGN  Nusatupe 
7VA5  Redhouse Airfield 
YKKA  [H] KAPOOKA 
OIKP  HAVADARYA 
SPAC  Ciro Alegria 
SWGE  Fazenda Pirigara 
LRCV  Craiova 
Y73  Stambaugh 
XLI000C  [H] Gorgona Island 
UT03  Hite 
4MI3  Phils Field 
06OR  Hayden Mountain 
BITM  Thorsmork 
SNJW  Jaguara 
MA25  [S] Long Pond 
0G9  [H] Magnolia Hospital 
KBEC  Beech Factory 
CJV9  Melville Muni 
KLKP  Lake Placid 
7FD2  Drake Ranch 
CA08  [H] Sce Energy Control Center 
SNIL  Fazenda Santo Antonio 
N42  Shippensburg 
98Y  Munsterman 
NZMF  Milford Sound 
ENSF  [H] Statfjord A Platform 
OP17  DADU WEST 
RORY  Yoron 
MA31  [H] Millipore 
SNKS  Santa Rita de Cassia 
LEAS  Asturias 
VTZ7  Koh Kud 
KBDG  Blanding Muni 
75Q  Rancho Tehama 
XXMW  [S] Merrill Pass West Base 
SNHH  [H] Helibras 
8IS9  [H] Anderson Hospital 
N56  Great Valley 
